commit,file,insertions,deletions,author,date
345c954e88284db03c01624a235d92bf57672c17,services/frontend/src/components/StudentStatistics/StudentDetails/CourseParticipationTable.jsx,1,7,Valtteri Kantanen,2024-05-06 10:34:23+03:00
345c954e88284db03c01624a235d92bf57672c17,services/frontend/src/components/StudentStatistics/StudentDetails/StudentGraphs.jsx,2,2,Valtteri Kantanen,2024-05-06 10:34:23+03:00
345c954e88284db03c01624a235d92bf57672c17,services/frontend/src/components/StudentStatistics/StudentDetails/index.jsx,17,98,Valtteri Kantanen,2024-05-06 10:34:23+03:00
345c954e88284db03c01624a235d92bf57672c17,services/frontend/src/components/StudentStatistics/StudentInfoCard/index.jsx,3,12,Valtteri Kantanen,2024-05-06 10:34:23+03:00
345c954e88284db03c01624a235d92bf57672c17,services/frontend/src/components/StudentStatistics/StudentSearch/index.jsx,95,259,Valtteri Kantanen,2024-05-06 10:34:23+03:00
345c954e88284db03c01624a235d92bf57672c17,services/frontend/src/components/StudentStatistics/index.jsx,3,4,Valtteri Kantanen,2024-05-06 10:34:23+03:00
345c954e88284db03c01624a235d92bf57672c17,services/frontend/src/redux/index.js,0,2,Valtteri Kantanen,2024-05-06 10:34:23+03:00
345c954e88284db03c01624a235d92bf57672c17,services/frontend/src/redux/students.js,13,88,Valtteri Kantanen,2024-05-06 10:34:23+03:00
9e91e447bc57d96a13c428c2d45a8035e6651146,services/frontend/src/components/PopulationStudents/StudentTable/CourseTab.jsx,2,1,Valtteri Kantanen,2024-05-06 10:16:14+03:00
9e91e447bc57d96a13c428c2d45a8035e6651146,services/frontend/src/components/PopulationStudents/StudentTable/ProgressTab/index.jsx,2,2,Valtteri Kantanen,2024-05-06 10:16:14+03:00
f93790227942998e5bfcc8ab4d78f95c42f42532,services/frontend/src/components/CourseStatistics/SummaryTab/index.jsx,5,8,Valtteri Kantanen,2024-05-06 10:14:40+03:00
f93790227942998e5bfcc8ab4d78f95c42f42532,services/frontend/src/components/CourseStatistics/index.jsx,2,4,Valtteri Kantanen,2024-05-06 10:14:40+03:00
f93790227942998e5bfcc8ab4d78f95c42f42532,services/frontend/src/redux/coursesSummaryForm.js,1,5,Valtteri Kantanen,2024-05-06 10:14:40+03:00
