commit,file,insertions,deletions,author,date
b63a0724d13c32928482eabcdd1d0c33813a63b9,src/server/services/myTeaching/myTeachingService.js,8,0,Henri Remonen,2024-04-25 13:08:22+03:00
cd84174d8941334993f650c3325ce87087d5125a,src/server/services/myTeaching/myTeachingService.js,7,3,Henri Remonen,2024-04-25 13:01:07+03:00
2af2b9329b6bcbc3ea0d4caddbde1538d29e112d,src/client/pages/FeedbackTarget/tabs/FeedbackView/utils.js,3,0,Henri Remonen,2024-04-25 12:47:34+03:00
f44bcee803ba5d95871618544cedc5ebab1d7621,src/client/components/NavBar/NavBar.js,37,5,Henri Remonen,2024-04-25 12:39:47+03:00
332cf034ff47bba8e8a55452ddbb85b08b768383,src/client/components/NavBar/useWaitingFeedbackCount.js,22,0,Henri Remonen,2024-04-25 12:39:12+03:00
1407f5eb3544d0b00e3e2ac72c647bc144b6a652,src/server/routes/feedbackTargets/feedbackTargetController.js,7,0,Henri Remonen,2024-04-25 12:38:29+03:00
1407f5eb3544d0b00e3e2ac72c647bc144b6a652,src/server/services/feedbackTargets/getForStudent.js,12,0,Henri Remonen,2024-04-25 12:38:29+03:00
1963ce022b28c0d5440b4faff16755ca1fb933e4,cypress/integration/continuousFeedback.spec.js,6,0,Henri Remonen,2024-04-25 11:18:30+03:00
20253643d3eacac297340c40fb49b6fa1bb064a7,cypress/integration/teacherview.spec.js,24,1,Henri Remonen,2024-04-25 11:17:09+03:00
016ee6f017e1979f5ee58f8bc81940be316aed05,src/client/components/common/YearSemesterSelector.js,11,5,Henri Remonen,2024-04-25 11:16:46+03:00
8e00de39e21e512ed9d0e47aa9c77687de5ce02a,public/locales/en/translation.json,1,0,Henri Remonen,2024-04-25 10:03:33+03:00
8e00de39e21e512ed9d0e47aa9c77687de5ce02a,public/locales/fi/translation.json,1,0,Henri Remonen,2024-04-25 10:03:33+03:00
8e00de39e21e512ed9d0e47aa9c77687de5ce02a,src/client/pages/MyTeaching/V2/MyTeaching.js,1,1,Henri Remonen,2024-04-25 10:03:33+03:00
cd09a0c1873ade5f38b1ab49b99135331269eb00,package.json,3,2,Veikkosuhonen,2024-04-24 15:43:49+03:00
a41e90d777225729fd436fda11eb614a57039677,.babelrc,1,3,Veikkosuhonen,2024-04-24 15:32:39+03:00
a41e90d777225729fd436fda11eb614a57039677,.dockerignore,2,1,Veikkosuhonen,2024-04-24 15:32:39+03:00
a41e90d777225729fd436fda11eb614a57039677,.eslintrc.js,22,2,Veikkosuhonen,2024-04-24 15:32:39+03:00
a41e90d777225729fd436fda11eb614a57039677,.gitattributes,3,0,Veikkosuhonen,2024-04-24 15:32:39+03:00
a41e90d777225729fd436fda11eb614a57039677,Dockerfile,2,1,Veikkosuhonen,2024-04-24 15:32:39+03:00
a41e90d777225729fd436fda11eb614a57039677,config/default.js,32,0,Veikkosuhonen,2024-04-24 15:32:39+03:00
a41e90d777225729fd436fda11eb614a57039677,dev-backend.Dockerfile,15,0,Veikkosuhonen,2024-04-24 15:32:39+03:00
a41e90d777225729fd436fda11eb614a57039677,dev.Dockerfile,3,1,Veikkosuhonen,2024-04-24 15:32:39+03:00
a41e90d777225729fd436fda11eb614a57039677,docker-compose.lw-dev.yml,31,0,Veikkosuhonen,2024-04-24 15:32:39+03:00
a41e90d777225729fd436fda11eb614a57039677,package-lock.json,3536,503,Veikkosuhonen,2024-04-24 15:32:39+03:00
a41e90d777225729fd436fda11eb614a57039677,package.json,41,12,Veikkosuhonen,2024-04-24 15:32:39+03:00
a41e90d777225729fd436fda11eb614a57039677,public/locales/en/translation.json,3,3,Veikkosuhonen,2024-04-24 15:32:39+03:00
a41e90d777225729fd436fda11eb614a57039677,public/locales/fi/translation.json,3,3,Veikkosuhonen,2024-04-24 15:32:39+03:00
a41e90d777225729fd436fda11eb614a57039677,public/locales/sv/translation.json,4,3,Veikkosuhonen,2024-04-24 15:32:39+03:00
a41e90d777225729fd436fda11eb614a57039677,src/client/components/CustomUiConfigProvider.js,9,0,Veikkosuhonen,2024-04-24 15:32:39+03:00
a41e90d777225729fd436fda11eb614a57039677,src/client/components/Footer-default.js,96,0,Veikkosuhonen,2024-04-24 15:32:39+03:00
a41e90d777225729fd436fda11eb614a57039677,src/client/components/Footer.js,7,91,Veikkosuhonen,2024-04-24 15:32:39+03:00
a41e90d777225729fd436fda11eb614a57039677,src/client/components/NavBar/Logo.js,27,9,Veikkosuhonen,2024-04-24 15:32:39+03:00
a41e90d777225729fd436fda11eb614a57039677,src/client/components/NavBar/NavBar.js,10,14,Veikkosuhonen,2024-04-24 15:32:39+03:00
a41e90d777225729fd436fda11eb614a57039677,src/client/components/common/FormikLocalesFieldEditor.js,2,1,Veikkosuhonen,2024-04-24 15:32:39+03:00
a41e90d777225729fd436fda11eb614a57039677,src/client/components/common/TeacherChip.tsx,42,0,Veikkosuhonen,2024-04-24 15:32:39+03:00
a41e90d777225729fd436fda11eb614a57039677,src/client/config/example-custom-ui.js,71,0,Veikkosuhonen,2024-04-24 15:32:39+03:00
a41e90d777225729fd436fda11eb614a57039677,src/client/hooks/useCustomUiConfig.js,17,0,Veikkosuhonen,2024-04-24 15:32:39+03:00
a41e90d777225729fd436fda11eb614a57039677,src/client/index.tsx,46,0,Veikkosuhonen,2024-04-24 15:32:39+03:00
a41e90d777225729fd436fda11eb614a57039677,src/client/pages/App.tsx,46,0,Veikkosuhonen,2024-04-24 15:32:39+03:00
a41e90d777225729fd436fda11eb614a57039677,src/client/pages/FeedbackTarget/FeedbackTargetLinks.js,6,4,Veikkosuhonen,2024-04-24 15:32:39+03:00
a41e90d777225729fd436fda11eb614a57039677,src/client/pages/FeedbackTarget/tabs/Results/GroupSelector.tsx,139,0,Veikkosuhonen,2024-04-24 15:32:39+03:00
a41e90d777225729fd436fda11eb614a57039677,src/client/theme.ts,182,0,Veikkosuhonen,2024-04-24 15:32:39+03:00
a41e90d777225729fd436fda11eb614a57039677,src/client/tsconfig.json,20,0,Veikkosuhonen,2024-04-24 15:32:39+03:00
a41e90d777225729fd436fda11eb614a57039677,src/client/types/User.ts,6,0,Veikkosuhonen,2024-04-24 15:32:39+03:00
a41e90d777225729fd436fda11eb614a57039677,src/client/util/common.js,4,0,Veikkosuhonen,2024-04-24 15:32:39+03:00
a41e90d777225729fd436fda11eb614a57039677,src/server/index.ts,58,0,Veikkosuhonen,2024-04-24 15:32:39+03:00
a41e90d777225729fd436fda11eb614a57039677,src/server/mailer/mails/sendAutomaticReminderOnFeedbackToStudents.js,9,2,Veikkosuhonen,2024-04-24 15:32:39+03:00
a41e90d777225729fd436fda11eb614a57039677,src/server/services/feedbackTargets/getOneForUser.js,1,0,Veikkosuhonen,2024-04-24 15:32:39+03:00
a41e90d777225729fd436fda11eb614a57039677,src/server/services/users/getByName.js,8,2,Veikkosuhonen,2024-04-24 15:32:39+03:00
a41e90d777225729fd436fda11eb614a57039677,src/server/tsconfig.json,20,0,Veikkosuhonen,2024-04-24 15:32:39+03:00
a41e90d777225729fd436fda11eb614a57039677,src/server/util/config.js,6,0,Veikkosuhonen,2024-04-24 15:32:39+03:00
a41e90d777225729fd436fda11eb614a57039677,src/server/util/jami.js,1,1,Veikkosuhonen,2024-04-24 15:32:39+03:00
a41e90d777225729fd436fda11eb614a57039677,tsconfig.json,11,0,Veikkosuhonen,2024-04-24 15:32:39+03:00
3ac03a9c37df1a23c86d541088da912bd357b328,config/hy.js,4,0,Veikkosuhonen,2024-04-24 15:10:14+03:00
3ac03a9c37df1a23c86d541088da912bd357b328,src/server/services/summary/buildSummaries.js,1,1,Veikkosuhonen,2024-04-24 15:10:14+03:00
93bd1a2ab33b0c3fe3a862cd48d0f4041ce03323,docker-compose.yml,1,1,Veikkosuhonen,2024-04-24 14:53:22+03:00
93bd1a2ab33b0c3fe3a862cd48d0f4041ce03323,src/server/services/summary/buildSummaries.js,16,5,Veikkosuhonen,2024-04-24 14:53:22+03:00
ccfa59af53d6c9c55a2f4328a4fb47bf3e3bac0e,documentation/course_summary.md,52,0,Veikkosuhonen,2024-04-10 17:02:52+03:00
70241c77fd3c718a29fc603fae529bee4caa51f7,src/server/services/myTeaching/myTeachingService.js,17,0,Henri Remonen,2024-04-24 14:05:53+03:00
5768fe1207b97d6fcf56b8594606caee6275f4af,src/client/pages/MyTeaching/V2/MyTeaching.js,20,16,Henri Remonen,2024-04-24 13:43:30+03:00
5768fe1207b97d6fcf56b8594606caee6275f4af,src/client/pages/MyTeaching/V2/useTeacherCourseUnits.js,18,10,Henri Remonen,2024-04-24 13:43:30+03:00
