commit,file,insertions,deletions,author,date
b84683b0f95d13e0bcd95b51876ba4c4a181d6a1,package.json,2,2,Miko Keskimäki,2023-04-17 13:14:36+03:00
b84683b0f95d13e0bcd95b51876ba4c4a181d6a1,src/server/db/connection.ts,57,0,Miko Keskimäki,2023-04-17 13:14:36+03:00
b84683b0f95d13e0bcd95b51876ba4c4a181d6a1,src/server/db/migrations/20230320_00_init_users.ts,30,0,Miko Keskimäki,2023-04-17 13:14:36+03:00
b84683b0f95d13e0bcd95b51876ba4c4a181d6a1,src/server/db/migrations/20230320_01_init_services.ts,38,0,Miko Keskimäki,2023-04-17 13:14:36+03:00
b84683b0f95d13e0bcd95b51876ba4c4a181d6a1,src/server/db/migrations/20230320_02_init_user_service_usages.ts,39,0,Miko Keskimäki,2023-04-17 13:14:36+03:00
b84683b0f95d13e0bcd95b51876ba4c4a181d6a1,src/server/db/migrations/20230414_00_switch_usage_limit_and_count_to_bigint.ts,31,0,Miko Keskimäki,2023-04-17 13:14:36+03:00
b84683b0f95d13e0bcd95b51876ba4c4a181d6a1,src/server/db/models/index.ts,12,0,Miko Keskimäki,2023-04-17 13:14:36+03:00
b84683b0f95d13e0bcd95b51876ba4c4a181d6a1,src/server/db/models/user.ts,40,0,Miko Keskimäki,2023-04-17 13:14:36+03:00
b84683b0f95d13e0bcd95b51876ba4c4a181d6a1,src/server/db/seeders/index.ts,18,0,Miko Keskimäki,2023-04-17 13:14:36+03:00
b84683b0f95d13e0bcd95b51876ba4c4a181d6a1,src/server/db/seeders/user.ts,25,0,Miko Keskimäki,2023-04-17 13:14:36+03:00
b84683b0f95d13e0bcd95b51876ba4c4a181d6a1,src/server/index.ts,62,0,Miko Keskimäki,2023-04-17 13:14:36+03:00
b84683b0f95d13e0bcd95b51876ba4c4a181d6a1,src/server/middleware/access.ts,40,0,Miko Keskimäki,2023-04-17 13:14:36+03:00
b84683b0f95d13e0bcd95b51876ba4c4a181d6a1,src/server/middleware/shibboleth.ts,6,0,Miko Keskimäki,2023-04-17 13:14:36+03:00
b84683b0f95d13e0bcd95b51876ba4c4a181d6a1,src/server/middleware/user.ts,40,0,Miko Keskimäki,2023-04-17 13:14:36+03:00
b84683b0f95d13e0bcd95b51876ba4c4a181d6a1,src/server/types.ts,36,0,Miko Keskimäki,2023-04-17 13:14:36+03:00
b84683b0f95d13e0bcd95b51876ba4c4a181d6a1,src/server/util/config.ts,15,0,Miko Keskimäki,2023-04-17 13:14:36+03:00
